parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,0.0,3/2,1,16.0,4.0,5.26,0.13,0.033774782,0.01011001,0.299336062,False,5,3,0.0,False,-1.0
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,331.9,5/2,1,41.0,5.0,4.79,0.06,0.099676449,0.01377081,0.138155106,False,5,5,0.0,False,0.0
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,1716.0,7/2,1,10.9,2.0,5.11,0.09,0.047708148,0.009886686,0.207232658,False,5,7,0.0,False,1.0
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,3544.0,5/2,2,0.45,0.07,6.09,0.09,0.004995656,0.001035263,0.207232658,False,5,5,0.0,False,0.0
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,4294.0,5/2,3,5.4,0.3,4.82,0.03,0.093023474,0.006425834,0.069077553,False,5,5,0.0,False,0.0
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,4468.0,3/2,2,10.5,0.5,4.48,0.03,0.203513187,0.014058193,0.069077553,False,5,3,0.0,False,-1.0
22Mg,22Na,b+ec,12,10,0.0,0,1,11,11,583.1,1,1,41.33,0.2,3.64,0.01,1.407967259,0.032419644,0.023025851,True,0,2,0.0,False,1.0
22Mg,22Na,b+ec,12,10,0.0,0,1,11,11,1936.9,1,2,5.45,0.07,3.46,0.01,2.131044683,0.049069117,0.023025851,True,0,2,0.0,False,1.0
23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,0.0,3/2,1,91.3,0.2,3.672,0.001,1.307954258,0.003011676,0.002302585,True,3,3,0.0,True,0.0
23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,439.99,5/2,1,8.7,0.3,4.39,0.001,0.250375919,0.000576512,0.002302585,True,3,5,0.0,True,1.0
23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,2390.0,1/2,1,0.006,0.0007,4.97,0.05,0.065855576,0.007581903,0.115129255,True,3,1,0.0,True,-1.0
22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,5293.11,4,2,31.0,5.0,4.87,0.08,0.082907259,0.015272081,0.184206807,True,8,8,0.0,False,0.0
22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,5451.8,3,1,5.9,2.4,5.56,0.18,0.01692749,0.007015857,0.414465317,True,8,6,0.0,False,-1.0
22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,6307.0,4,3,4.7,0.6,4.7,0.6,0.122628822,0.169417978,1.381551056,True,8,8,0.0,False,0.0
23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,0.0,3/2,1,37.0,1.0,5.32,0.6,0.029416605,0.040640542,1.381551056,True,5,3,0.0,False,-1.0
